tangent_height_km,R_lin,G_lin,B_lin
16.6732,1.347564e-01,1.509818e-01,1.851888e-01
16.7319,1.348420e-01,1.519800e-01,1.879888e-01
16.7906,1.349332e-01,1.529799e-01,1.908033e-01
16.8493,1.350301e-01,1.539811e-01,1.936307e-01
16.9080,1.351340e-01,1.549830e-01,1.964704e-01
16.9667,1.352448e-01,1.559830e-01,1.993133e-01
17.0254,1.353615e-01,1.569789e-01,2.021509e-01
17.0841,1.354845e-01,1.579737e-01,2.049912e-01
17.1429,1.356147e-01,1.589733e-01,2.078506e-01
17.2016,1.357552e-01,1.599801e-01,2.107368e-01
17.2603,1.359036e-01,1.609921e-01,2.136417e-01
17.3190,1.360599e-01,1.620093e-01,2.165649e-01
17.3777,1.362245e-01,1.630318e-01,2.195058e-01
17.4364,1.363990e-01,1.640605e-01,2.224669e-01
17.4951,1.365846e-01,1.650958e-01,2.254476e-01
17.5538,1.367796e-01,1.661366e-01,2.284437e-01
17.6125,1.369843e-01,1.671829e-01,2.314542e-01
17.6712,1.371992e-01,1.682347e-01,2.344783e-01
17.7299,1.374288e-01,1.692943e-01,2.375187e-01
17.7886,1.376706e-01,1.703599e-01,2.405695e-01
17.8474,1.379253e-01,1.714315e-01,2.436281e-01
17.9061,1.381939e-01,1.725092e-01,2.466919e-01
17.9648,1.384803e-01,1.735940e-01,2.497568e-01
18.0235,1.387965e-01,1.746881e-01,2.528035e-01
18.0822,1.391252e-01,1.757882e-01,2.558565e-01
18.1409,1.394633e-01,1.768939e-01,2.589219e-01
18.1996,1.398091e-01,1.780052e-01,2.620031e-01
18.2583,1.401651e-01,1.791235e-01,2.651039e-01
18.3170,1.405301e-01,1.802479e-01,2.682205e-01
18.3757,1.409034e-01,1.813777e-01,2.713508e-01
18.4344,1.412852e-01,1.825131e-01,2.744942e-01
18.4932,1.416764e-01,1.836543e-01,2.776511e-01
18.5519,1.420794e-01,1.848026e-01,2.808229e-01
18.6106,1.424917e-01,1.859563e-01,2.840049e-01
18.6693,1.429134e-01,1.871153e-01,2.871961e-01
18.7280,1.433448e-01,1.882794e-01,2.903953e-01
18.7867,1.437885e-01,1.894497e-01,2.936025e-01
18.8454,1.442437e-01,1.906251e-01,2.968136e-01
18.9041,1.447092e-01,1.918042e-01,3.000248e-01
18.9628,1.451846e-01,1.929851e-01,3.032293e-01
19.0215,1.456696e-01,1.941650e-01,3.064173e-01
19.0802,1.461700e-01,1.953500e-01,3.095996e-01
19.1389,1.466840e-01,1.965446e-01,3.127939e-01
19.1977,1.472120e-01,1.977492e-01,3.160001e-01
19.2564,1.477543e-01,1.989640e-01,3.192179e-01
19.3151,1.483147e-01,2.001916e-01,3.224489e-01
19.3738,1.488943e-01,2.014325e-01,3.256920e-01
19.4325,1.494906e-01,2.026850e-01,3.289446e-01
19.4912,1.501045e-01,2.039495e-01,3.322061e-01
19.5499,1.507366e-01,2.052266e-01,3.354760e-01
19.6086,1.513957e-01,2.065219e-01,3.387555e-01
19.6673,1.520768e-01,2.078320e-01,3.420409e-01
19.7260,1.527809e-01,2.091574e-01,3.453311e-01
19.7847,1.535099e-01,2.104993e-01,3.486248e-01
19.8434,1.542704e-01,2.118619e-01,3.519208e-01
19.9022,1.550722e-01,2.132514e-01,3.552149e-01
19.9609,1.559205e-01,2.146708e-01,3.585011e-01
20.0196,1.568225e-01,2.161247e-01,3.617754e-01
20.0783,1.577803e-01,2.176142e-01,3.650364e-01
20.1370,1.587483e-01,2.191110e-01,3.683076e-01
20.1957,1.597247e-01,2.206137e-01,3.715863e-01
20.2544,1.607089e-01,2.221216e-01,3.748714e-01
20.3131,1.617009e-01,2.236346e-01,3.781622e-01
20.3718,1.627014e-01,2.251531e-01,3.814589e-01
20.4305,1.637121e-01,2.266779e-01,3.847608e-01
20.4892,1.647305e-01,2.282071e-01,3.880658e-01
20.5479,1.657565e-01,2.297406e-01,3.913731e-01
20.6067,1.667900e-01,2.312781e-01,3.946819e-01
20.6654,1.678328e-01,2.328201e-01,3.979907e-01
20.7241,1.688832e-01,2.343651e-01,4.012974e-01
20.7828,1.699398e-01,2.359121e-01,4.046003e-01
20.8415,1.710020e-01,2.374602e-01,4.078977e-01
20.9002,1.720691e-01,2.390080e-01,4.111867e-01
20.9589,1.731375e-01,2.405498e-01,4.144555e-01
21.0176,1.741975e-01,2.420767e-01,4.176933e-01
21.0763,1.752605e-01,2.436008e-01,4.209166e-01
21.1350,1.763366e-01,2.451329e-01,4.241397e-01
21.1937,1.774327e-01,2.466790e-01,4.273672e-01
21.2524,1.785489e-01,2.482389e-01,4.305981e-01
21.3112,1.796830e-01,2.498110e-01,4.338312e-01
21.3699,1.808356e-01,2.513957e-01,4.370660e-01
21.4286,1.820071e-01,2.529932e-01,4.403019e-01
21.4873,1.832065e-01,2.546094e-01,4.435380e-01
21.5460,1.844274e-01,2.562397e-01,4.467730e-01
21.6047,1.856705e-01,2.578848e-01,4.500062e-01
21.6634,1.869370e-01,2.595451e-01,4.532366e-01
21.7221,1.882326e-01,2.612244e-01,4.564625e-01
21.7808,1.895616e-01,2.629252e-01,4.596811e-01
21.8395,1.909211e-01,2.646454e-01,4.628913e-01
21.8982,1.923148e-01,2.663872e-01,4.660907e-01
21.9569,1.937475e-01,2.681535e-01,4.692758e-01
22.0157,1.952609e-01,2.699697e-01,4.724230e-01
22.0744,1.968104e-01,2.718085e-01,4.755574e-01
22.1331,1.983815e-01,2.736609e-01,4.786879e-01
22.1918,1.999673e-01,2.755230e-01,4.818184e-01
22.2505,2.015701e-01,2.773959e-01,4.849484e-01
22.3092,2.031926e-01,2.792812e-01,4.880767e-01
22.3679,2.048311e-01,2.811765e-01,4.912029e-01
22.4266,2.064859e-01,2.830819e-01,4.943266e-01
22.4853,2.081574e-01,2.849975e-01,4.974470e-01
22.5440,2.098513e-01,2.869266e-01,5.005619e-01
22.6027,2.115649e-01,2.888675e-01,5.036709e-01
