arcmin_from_umbra_center,R_lin,G_lin,B_lin,Y_luminance
40.0391,6.838869e-04,3.545044e-04,1.266482e-04,4.081096e-04
40.1566,6.895700e-04,3.611959e-04,1.316865e-04,4.144673e-04
40.2740,6.953364e-04,3.680403e-04,1.369154e-04,4.209659e-04
40.3914,7.011901e-04,3.750432e-04,1.423436e-04,4.276107e-04
40.5088,7.071324e-04,3.822066e-04,1.479765e-04,4.344040e-04
40.6262,7.131658e-04,3.895345e-04,1.538212e-04,4.413495e-04
40.7436,7.192955e-04,3.970316e-04,1.598853e-04,4.484524e-04
40.8611,7.255244e-04,4.047008e-04,1.661741e-04,4.557156e-04
40.9785,7.318572e-04,4.125456e-04,1.726939e-04,4.631432e-04
41.0959,7.383015e-04,4.205708e-04,1.794511e-04,4.707407e-04
41.2133,7.448645e-04,4.287793e-04,1.864492e-04,4.785118e-04
41.3307,7.515580e-04,4.371739e-04,1.936894e-04,4.864614e-04
41.4481,7.584083e-04,4.457582e-04,2.011650e-04,4.945969e-04
41.5656,7.654814e-04,4.545316e-04,2.088404e-04,5.029294e-04
41.6830,7.726690e-04,4.635045e-04,2.167941e-04,5.114491e-04
41.8004,7.799388e-04,4.726822e-04,2.250571e-04,5.201550e-04
41.9178,7.872919e-04,4.820693e-04,2.336412e-04,5.290516e-04
42.0352,7.947268e-04,4.916691e-04,2.425583e-04,5.381417e-04
42.1526,8.022425e-04,5.014854e-04,2.518212e-04,5.474288e-04
42.2701,8.098383e-04,5.115219e-04,2.614424e-04,5.569162e-04
42.3875,8.175127e-04,5.217812e-04,2.714337e-04,5.666064e-04
42.5049,8.252627e-04,5.322656e-04,2.818078e-04,5.765013e-04
42.6223,8.330862e-04,5.429780e-04,2.925789e-04,5.866036e-04
42.7397,8.409787e-04,5.539182e-04,3.037567e-04,5.969128e-04
42.8571,8.489357e-04,5.650870e-04,3.153548e-04,6.074295e-04
42.9746,8.569494e-04,5.764808e-04,3.273807e-04,6.181501e-04
43.0920,8.650090e-04,5.880949e-04,3.398450e-04,6.290696e-04
43.2094,8.730959e-04,5.999144e-04,3.527458e-04,6.401733e-04
43.3268,8.811654e-04,6.119005e-04,3.660641e-04,6.514226e-04
43.4442,8.891461e-04,6.239881e-04,3.797587e-04,6.627528e-04
43.5616,8.972323e-04,6.363623e-04,3.939869e-04,6.743488e-04
43.6791,9.054307e-04,6.490361e-04,4.087753e-04,6.862235e-04
43.7965,9.137440e-04,6.620168e-04,4.241456e-04,6.983840e-04
